Team,Balancing,Halfpipe,Funnel Endurance,Newton's Cradle,Long Jump,5 Meter Hurdles,Block Pushing,Triathlon,Sand Mogul Race,5m Sprint,Black Hole Funnel,Event 12,Event 13,Event 14,Event 15,Event 16
O'rangers,6,25,20,25,4,10,15,15,4,6,10,,,,,
Minty Maniacs,25,15,25,10,8,8,2,6,15,25,0,,,,,
Midnight Wisps,15,12,5,11,5,20,25,10,6,5,20,,,,,
Crazy Cat's Eyes,11,20,10,12,25,12,9,4,9,4,15,,,,,
Savage Speeders,2,1,15,7,12,15,12,9,12,15,25,,,,,
Raspberry Racers,20,7,7,15,1,25,10,5,5,12,1,,,,,
Hazers,9,8,6,9,6,7,0,25,20,11,3,,,,,
Team Galactic,1,11,2,20,9,11,11,11,7,9,11,,,,,
Team Momo,10,10,0,5,8,4,20,20,10,2,7,,,,,
Oceanics,6,0,3,4,10,3,4,7,25,20,6,,,,,
Thunderbolts,3,2,8,2,11,5,5,9,2,8,9,,,,,
Balls of Chaos,12,3,11,3,20,1,3,3,1,3,2,,,,,
Green Ducks,7,4,12,6,3,0,7,1,0,10,12,,,,,
Bumblebees,8,6,9,8,2,6,1,2,8,7,4,,,,,
Hornets,4,9,4,1,0,9,8,12,3,0,5,,,,,
Mellow Yellow,0,5,1,0,15,2,6,0,11,1,8,,,,,
